NewsID,Agency
0,LTN
1,CTS
2,APD
3,LTN
4,APD
5,CTS
6,LTN
7,APD
8,CTS
9,APD
10,LTN
11,CTS
14,CTS
15,APD
16,CTS
18,LTN
19,LTN
20,LTN
22,LTN
24,LTN
25,CTS
26,CTS
27,LTN
28,APD
29,CTS
30,LTN
32,APD
33,LTN
34,LTN
35,CTS
37,LTN
38,LTN
39,APD
40,CTS
41,LTN
42,LTN
44,LTN
45,CTS
46,APD
47,APD
48,APD
49,LTN
50,CTS
51,CTS
52,CTS
53,APD
54,APD
55,LTN
56,CTS
57,APD
59,APD
60,APD
61,LTN
62,CTS
63,APD
64,CTS
65,LTN
67,APD
69,CTS
70,APD
71,APD
72,CTS
73,APD
74,CTS
75,CTS
76,LTN
77,APD
78,APD
79,LTN
80,APD
81,CTS
82,APD
84,APD
85,CTS
86,CTS
87,CTS
89,LTN
92,LTN
93,LTN
94,LTN
95,APD
96,APD
97,CTS
98,LTN
101,LTN
102,APD
103,APD
105,LTN
106,LTN
107,APD
108,LTN
109,APD
110,APD
111,APD
112,CTS
113,CTS
114,CTS
115,CTS
116,CTS
120,LTN
121,APD
122,LTN
123,APD
124,LTN
125,CTS
126,CTS
127,LTN
128,APD
129,APD
130,CTS
131,LTN
132,LTN
133,CTS
135,LTN
136,CTS
137,CTS
138,LTN
139,APD
140,LTN
141,CTS
143,LTN
144,CTS
145,LTN
146,LTN
148,LTN
149,LTN
150,APD
151,CTS
152,CTS
153,APD
154,LTN
155,CTS
156,CTS
157,LTN
158,CTS
159,APD
162,LTN
165,LTN
166,CTS
167,APD
168,CTS
169,LTN
170,CTS
171,APD
172,CTS
173,APD
175,APD
176,LTN
177,LTN
178,CTS
179,CTS
180,CTS
181,APD
182,APD
183,LTN
184,APD
185,LTN
189,APD
190,LTN
191,LTN
193,LTN
194,APD
195,LTN
197,LTN
199,CTS
200,CTS
201,CTS
203,CTS
206,APD
207,LTN
208,CTS
209,CTS
210,LTN
211,LTN
212,LTN
213,LTN
214,LTN
215,LTN
216,CTS
217,CTS
219,LTN
220,CTS
222,APD
223,APD
224,CTS
225,APD
226,LTN
227,LTN
228,CTS
229,APD
230,CTS
231,CTS
232,APD
233,LTN
234,CTS
235,LTN
237,CTS
238,LTN
239,APD
240,LTN
241,CTS
244,LTN
245,LTN
248,APD
249,LTN
250,LTN
251,CTS
252,CTS
253,CTS
254,CTS
255,CTS
257,APD
258,LTN
259,CTS
261,LTN
262,CTS
263,CTS
264,CTS
265,CTS
266,CTS
267,LTN
269,CTS
270,LTN
271,LTN
272,APD
273,APD
274,APD
275,LTN
276,APD
277,CTS
278,APD
279,CTS
281,APD
282,APD
283,APD
284,APD
285,LTN
286,LTN
287,APD
288,APD
289,CTS
290,LTN
291,APD
292,CTS
293,LTN
296,CTS
297,CTS
298,CTS
299,APD
301,APD
302,APD
303,LTN
304,APD
305,LTN
308,CTS
309,APD
313,LTN
315,LTN
316,CTS
317,LTN
318,CTS
319,CTS
320,APD
321,APD
322,APD
323,LTN
324,CTS
325,LTN
326,LTN
327,LTN
328,CTS
329,APD
330,LTN
331,CTS
332,CTS
333,CTS
334,CTS
335,APD
336,CTS
337,CTS
339,APD
340,LTN
341,LTN
342,APD
343,LTN
344,CTS
346,APD
349,CTS
351,APD
352,APD
353,CTS
354,LTN
355,APD
356,APD
357,APD
358,CTS
359,APD
360,LTN
362,APD
363,CTS
364,APD
365,APD
367,APD
368,CTS
369,LTN
370,CTS
371,LTN
372,APD
373,APD
374,LTN
375,LTN
377,LTN
378,CTS
379,LTN
380,CTS
382,CTS
383,LTN
384,CTS
385,CTS
387,CTS
388,CTS
389,LTN
390,LTN
391,CTS
392,APD
393,CTS
394,LTN
395,APD
396,LTN
397,CTS
400,APD
401,CTS
402,APD
403,LTN
404,LTN
406,LTN
407,LTN
408,CTS
409,APD
410,CTS
412,LTN
413,APD
414,LTN
415,CTS
416,CTS
417,CTS
418,APD
419,APD
420,CTS
421,APD
422,CTS
423,CTS
424,LTN
425,CTS
427,LTN
428,LTN
429,APD
430,CTS
431,CTS
432,APD
434,APD
435,APD
436,CTS
437,CTS
438,APD
440,APD
441,LTN
445,LTN
446,CTS
447,CTS
448,LTN
449,LTN
450,LTN
451,LTN
452,APD
453,APD
454,LTN
455,LTN
456,LTN
457,CTS
458,LTN
459,CTS
460,CTS
462,LTN
463,APD
464,APD
465,CTS
466,LTN
467,APD
468,LTN
469,APD
470,CTS
471,LTN
474,LTN
475,LTN
476,LTN
478,CTS
479,APD
480,CTS
481,LTN
482,APD
483,APD
484,CTS
485,LTN
486,APD
487,LTN
488,LTN
490,CTS
491,LTN
494,CTS
495,CTS
496,LTN
497,LTN
498,CTS
499,APD
500,LTN
501,APD
502,CTS
503,LTN
504,APD
506,LTN
507,APD
508,CTS
509,APD
510,LTN
511,LTN
512,CTS
513,LTN
514,LTN
515,CTS
516,APD
517,APD
519,LTN
520,CTS
521,APD
522,LTN
523,CTS
524,CTS
525,CTS
526,CTS
527,CTS
528,LTN
529,LTN
531,CTS
532,APD
534,LTN
538,LTN
539,LTN
540,LTN
541,APD
543,APD
544,CTS
546,APD
547,LTN
548,CTS
549,APD
550,CTS
551,LTN
552,APD
554,CTS
555,CTS
557,APD
559,LTN
560,CTS
561,CTS
562,LTN
565,CTS
566,APD
567,LTN
568,LTN
569,LTN
570,LTN
571,CTS
572,LTN
573,LTN
574,APD
576,LTN
578,CTS
579,LTN
580,APD
582,APD
583,APD
584,CTS
586,APD
587,APD
588,LTN
589,LTN
590,APD
591,APD
592,CTS
593,LTN
594,LTN
595,APD
596,LTN
597,APD
598,APD
599,LTN
600,APD
602,APD
603,CTS
604,CTS
605,LTN
607,APD
608,LTN
609,LTN
610,LTN
611,APD
612,LTN
613,APD
615,LTN
616,CTS
619,LTN
621,CTS
622,APD
623,LTN
624,CTS
625,CTS
626,CTS
627,APD
629,CTS
631,APD
632,APD
633,LTN
634,APD
635,LTN
636,LTN
637,CTS
639,LTN
640,LTN
641,LTN
642,APD
645,CTS
648,CTS
649,APD
650,APD
651,LTN
655,CTS
656,LTN
657,LTN
659,LTN
660,CTS
661,CTS
662,CTS
663,LTN
664,CTS
665,CTS
666,LTN
667,CTS
668,LTN
672,APD
673,APD
674,CTS
675,LTN
676,APD
677,CTS
678,APD
679,CTS
680,APD
681,CTS
682,APD
683,CTS
684,CTS
685,APD
686,CTS
687,LTN
688,CTS
689,LTN
691,LTN
692,CTS
693,APD
694,CTS
695,CTS
696,APD
697,LTN
698,APD
699,APD
700,LTN
701,CTS
702,LTN
703,CTS
704,CTS
705,CTS
706,CTS
709,APD
710,APD
711,CTS
712,APD
713,CTS
714,CTS
716,LTN
717,CTS
719,APD
721,CTS
722,LTN
723,APD
724,CTS
725,CTS
726,CTS
727,APD
728,LTN
729,CTS
730,LTN
731,CTS
735,CTS
736,CTS
737,CTS
738,APD
739,LTN
740,CTS
741,APD
742,LTN
743,APD
744,LTN
746,APD
747,APD
748,CTS
749,APD
750,APD
751,APD
752,LTN
753,CTS
754,LTN
755,CTS
756,LTN
757,APD
758,LTN
759,CTS
760,APD
761,LTN
762,CTS
763,LTN
764,APD
765,CTS
766,CTS
767,LTN
768,CTS
769,LTN
770,LTN
771,LTN
772,LTN
773,CTS
774,LTN
775,CTS
776,LTN
777,LTN
778,LTN
779,CTS
782,APD
783,LTN
784,CTS
785,CTS
786,CTS
787,CTS
789,CTS
790,APD
791,APD
792,CTS
793,APD
794,CTS
795,APD
796,CTS
797,LTN
799,LTN
800,APD
801,APD
802,APD
803,CTS
804,LTN
805,LTN
807,APD
808,LTN
809,CTS
810,CTS
811,LTN
813,LTN
814,APD
815,LTN
816,CTS
818,LTN
820,CTS
821,APD
822,LTN
823,LTN
824,CTS
825,LTN
826,CTS
827,APD
828,APD
829,APD
832,LTN
833,CTS
834,CTS
835,CTS
836,CTS
837,LTN
838,CTS
839,LTN
840,LTN
842,LTN
843,APD
844,CTS
845,LTN
847,LTN
848,APD
849,LTN
850,APD
851,LTN
852,LTN
853,CTS
854,APD
855,LTN
856,APD
857,CTS
859,APD
860,APD
861,CTS
863,CTS
864,CTS
865,APD
866,LTN
867,CTS
868,LTN
869,LTN
870,CTS
872,LTN
873,APD
874,APD
875,CTS
876,CTS
877,APD
878,LTN
880,LTN
881,LTN
882,CTS
883,CTS
884,APD
885,CTS
886,LTN
887,CTS
888,CTS
889,LTN
890,APD
892,CTS
893,CTS
894,APD
895,CTS
896,APD
897,LTN
898,CTS
900,APD
902,LTN
904,LTN
907,CTS
908,LTN
909,CTS
910,LTN
911,LTN
912,LTN
913,LTN
914,LTN
915,APD
916,CTS
917,LTN
918,LTN
919,CTS
920,APD
922,LTN
923,APD
924,CTS
925,CTS
926,LTN
927,APD
928,APD
929,LTN
930,LTN
931,CTS
932,LTN
